question1,question2,is_duplicate,len_q1,len_q2,diff_len,len_char_q1,len_char_q2,len_word_q1,len_word_q2,common_words,fuzz_qratio,fuzz_WRatio,fuzz_partial_ratio,fuzz_partial_token_set_ratio,fuzz_partial_token_sort_ratio,fuzz_token_set_ratio,fuzz_token_sort_ratio,wmd,cosine_distance,cityblock_distance,jaccard_distance,canberra_distance,euclidean_distance,minkowski_distance,braycurtis_distance
Will there really be any war between India and Pakistan over the Uri attack? What will be its effects?,Will there be a nuclear war between India and Pakistan?,1,102,55,47,23,19,19,10,7,61,86,85,100,67,90,62,2.299411159712543,0.18089811776494846,8.343345071050862,1.0,129.6943804498233,0.6014949888316005,0.2704174699805125,0.3172244919715479
Did Ronald Reagan have a mannerism in his speech?,How did Ronald Reagan react to 9/11?,0,49,36,13,18,18,9,7,3,55,62,58,100,57,65,55,1.347156715728811,0.39242294382623955,12.46863134020532,1.0,169.03760537382186,0.8859153006233298,0.39634161773502347,0.5046589318475351
What were the war strategies of the Union and the Confederates during the Civil War?,How could the Confederates have possibly defeated Union forces at Gettysburg during the American Civil War?,0,84,107,-23,20,28,15,16,6,54,70,56,100,57,74,61,2.2241171315992116,0.18097739477139274,8.451929467926675,1.0,125.59079266959034,0.6016267824081436,0.26822459981858593,0.3156916917843033
Which is the best fiction novel of 2016?,Which are some of the best fiction novels?,0,40,42,-2,18,17,8,8,5,75,76,75,100,82,80,80,1.1247901565844665,0.06670990802989929,5.1196392404453945,1.0,94.96032778586313,0.3652667713231555,0.16339294928064987,0.18406262201367526
Can I recover my email if I forgot the password?,What should I do if I forgot my email password?,1,48,47,1,22,20,10,10,6,60,75,62,100,79,79,77,1.4086356465632857,0.058384661537782434,4.597964487036734,1.0,85.58344609909922,0.34171527749146396,0.1562703143355268,0.16573581808788335
Will the recent demonetisation results in higher GDP? If so how much?,How demonetisation could affect the GDP of India in both short run and long run?,0,69,80,-11,23,24,12,15,4,50,58,51,100,66,61,56,3.3193179357359446,0.46252369381190983,13.19130236878118,1.0,171.59061872141592,0.9617938395605906,0.4417489849842811,0.5411465769137062
Have you ever heard of travel hacking?,Can WhatsApp be hacked?,0,38,23,15,19,15,7,4,0,41,45,43,50,50,44,44,inf,0.5706523459910015,14.872373536898522,1.0,187.04368426417352,1.0683186547700885,0.4873325017654846,0.6356510414984228
What's the difference between love and pity?,What is the difference between love and pity?,1,44,45,-1,21,20,7,8,6,99,99,95,100,93,99,94,1.3603332466598983,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
How competitive is the hiring process at Republic Bank?,How competitive is the hiring process at S & T Bank?,0,55,52,3,23,22,9,11,8,88,91,85,100,88,96,89,0.9870310406115055,0.09455324657409736,6.005616011796519,1.0,110.0011401182561,0.4348637823130526,0.19649932066593287,0.22253741831915086
How Google helps in spam ranking adjustment of the search results?,"What is the distribution of traffic between Google organic search results? e.g. #1 vs. #2 in rankings, first page vs. second page",0,66,129,-63,23,28,11,22,6,39,86,45,100,62,65,51,3.2421675331693014,0.2994113986499204,10.842392605351051,1.0,165.71780779270077,0.7738364193218078,0.34956085251321184,0.4354640184507712
Where can I watch gonulcelen with english subtitles?,Where can I watch sarrainodu with subtitles?,0,52,44,8,18,18,8,7,6,74,81,64,100,72,85,74,2.0042052268981934,0.10161810105923108,6.227547820082691,1.0,107.17813551934107,0.4508172629601037,0.2024044724917167,0.2325610814827872
Is USA the most powerful country of the world?,Why is the USA the most powerful country of the world?,0,46,54,-8,21,22,9,11,8,92,95,96,100,91,100,92,0.0,5.551115123125783e-16,0.0,0.0,0.0,0.0,0.0,0.0
How do you obtain an instant ulcer pain relief?,What is better for a low back pain: heat or ice?,0,47,48,-1,19,19,9,11,0,43,43,43,100,35,43,35,3.622994290108323,0.455172270075459,12.984353621781338,1.0,166.2681671658587,0.9541197522760964,0.43306399884348673,0.5386208953551216
What do you think China food?,How do you think of Chinese food?,1,29,33,-4,14,16,6,7,4,80,80,79,100,64,80,73,1.7208659663963317,0.195449293916525,8.524709257842915,1.0,144.56843784046208,0.6252188461666319,0.2890985890073622,0.33773447403671053
What does taking advantage of someone mean?,Is it worse to take advantage of someone or be materialistic?,0,43,61,-18,16,20,7,11,3,65,65,72,100,55,65,65,1.3035609664734404,0.25602778077185684,10.061774585155945,1.0,146.322973704395,0.7155805814146402,0.321889280261822,0.3880522399455481
Why do we cry when we are happy and when we are sad?,Why do we cry?,0,52,14,38,14,10,13,4,3,41,90,93,100,69,100,41,inf,0.3128885553642703,10.915513866988476,1.0,146.2757749190646,0.7910607430325847,0.35885945946859604,0.42115985552709784
Why do some girls like to stick their their tongues out when taking pictures?,Why do teen girls (and women in general) allow their boyfriends to take naked pictures of them in this day and (digital) age?,0,77,125,-48,21,25,14,23,5,49,86,52,100,64,60,50,2.7619202750663034,0.3473217392647673,11.665378359964961,1.0,160.9386974049982,0.833452767543897,0.37017051034338905,0.45985554974928167
"Did you find the ending of the novel ""1984"" depressing?","How do Winston and Julia differ in the novel ""1984""? How are they similar?",0,55,74,-19,23,26,10,14,2,54,54,56,100,50,54,56,2.5993194884505453,0.5393475120301225,14.572115562681574,1.0,174.3977692496915,1.0386024668919356,0.46298402936166866,0.5978921478472472
What are some mind-blowing computer tools that exist that most people don't know about?,What are some mind-blowing technologies that exist that most people don't know about?,0,87,85,2,24,24,14,13,11,91,91,89,100,82,91,84,1.2477417197122693,0.1698385688266898,7.989223523301916,1.0,131.54217515333278,0.5828182662408488,0.26156804877404916,0.30406084215424617
Should the toothbrush be wet or dry before applying the toothpaste?,What is the cheapest toothpaste?,0,67,32,35,20,11,11,5,2,45,86,56,100,62,62,47,4.180898981659412,0.39885294049445263,12.179208762274357,1.0,158.79695453005252,0.8931438542575741,0.40570183561493717,0.48245641171740267
Why my question was marked as needing imrovement?,How can I ask a question without getting marked as ‘need to improve’?,1,49,69,-20,20,24,8,13,3,61,61,61,100,67,60,60,1.6593723539088616,0.19397680933720618,8.450838376855245,1.0,124.37755948484397,0.6228592201231373,0.28755377689072587,0.31843185474646757
What is the difference between a neutral state and a buffer state?,"If every state of the USA declared war against each other, which would win?",0,66,75,-9,17,24,12,14,2,39,48,42,100,46,51,43,3.077743066176326,0.5176497092376902,14.185567413602257,1.0,182.73498024389278,1.0174966500262423,0.4600007761673929,0.6052342669626435
What mineral holds the highest electrical charge?,What mineral can hold the greatest electrical charge?,1,49,53,-4,16,16,7,8,5,88,88,84,100,92,88,88,1.3328297995955944,0.13107448321650828,7.1797353936235595,1.0,122.07214704566053,0.5120048594806169,0.22885927442199877,0.26991230264450605
What is the greatest mystery in the universe?,What is the greatest mystery of all time?,0,45,41,4,15,15,8,8,5,79,79,80,100,70,82,76,0.0,0.17222700446522554,8.03341238048597,1.0,124.08167006142757,0.5869020658980739,0.2651939937742205,0.29429802882516404
What is the alternative to machine learning?,How do I over-sample a multi-class imbalance data set?,0,44,54,-10,16,21,7,9,0,42,42,36,40,40,40,40,3.8558467163658143,0.8304563542957675,17.93872546595594,1.0,205.77626046518884,1.2887640513421623,0.5789585648795205,0.8497707043723338
"Why does China block sanctions at the UN against the Jaish-e-Mohammad (JeM) chief, Masood Azhar?",Why does China support Masood Azhar?,1,96,36,60,31,19,15,6,5,48,86,58,100,54,87,49,2.868055072633624,0.462761748177575,13.305486744240625,1.0,182.89465432999492,0.9620413298421161,0.43630450750991284,0.5560424483164177
What is the mean of future budget?,What is the meaning of the future?,0,34,34,0,17,15,7,7,4,79,80,79,100,79,84,79,2.499766371185303,0.3732404606968942,11.760316910978872,1.0,161.8352714915054,0.8639912777812357,0.39337760485130757,0.46753075265316385
Can excessive amounts of Vitamin C cause me to have a miscarriage?,How can Vitamin C cause a miscarriage?,1,66,38,28,19,17,12,7,6,67,86,71,100,65,94,69,1.6291421293421067,0.08798579102062576,5.923571407193322,1.0,104.72319795969182,0.41948967403943904,0.18550353696533362,0.21749961290010167
What is it like to work in Asahi India Glass? What will be the pay scale after one or two years?,When will we get the Call Letter after we get the Letter of Intent in Asahi India Glass recruitment?,0,96,100,-4,23,24,21,19,6,43,63,43,100,59,66,61,2.6813431429279664,0.4551279252395084,12.991184649039496,1.0,163.93609582912137,0.9540732489458515,0.4314460239279417,0.5309688278990967
How do I access Torbox in India?,How do I access Google.com from India?,0,32,38,-6,16,19,7,7,5,74,77,62,100,52,81,62,2.1369266510009766,6.661338147750939e-16,0.0,0.0,0.0,0.0,0.0,0.0
What are some yakshini mantras?,What is a Yantra & Mantra?,0,31,26,5,14,12,5,6,1,62,62,50,100,65,64,64,inf,0.24614339295680243,9.573819754572469,1.0,143.44148163457487,0.7016315297074486,0.31987157912702835,0.3731181132074181
Was six party talks successful?,Which course is better in NICMAR?,0,31,33,-2,16,19,5,6,0,29,30,26,33,33,32,32,3.1971190401882343,0.7507233417009086,16.933349448510853,1.0,201.37204589227483,1.2253353631086037,0.5512369516770629,0.7636756385996422
How do I register my domain site email?,How do you register a .an domain?,0,39,33,6,17,17,8,7,3,69,79,73,100,65,83,67,2.4625396950156477,0.15362311255201222,7.6584588047116995,1.0,127.60848779745496,0.554297933924061,0.24924577318744964,0.2910929282953946
Is it normal for older men to be attracted to young women?,Why am I attracted to older men?,0,58,32,26,20,15,12,7,3,52,86,69,100,58,83,61,1.9114184350349426,0.10648743633586732,6.570826220573508,1.0,118.70884581968315,0.461492026075581,0.2051487802123749,0.2454409153585914
What is the strongest structure or strongest shape under compression?,What is the strongest Kevlar cord?,0,69,34,35,17,17,10,6,4,57,86,76,100,61,78,55,1.8477705613803863,0.4381586545113426,12.491996766679222,1.0,164.60636209162294,0.9361182105675149,0.4316126500121085,0.5140286137836987
Who are the Rohingya Muslims?,Who are the Rohingya people?,1,29,28,1,18,15,5,5,4,80,81,79,100,78,85,80,inf,0.6427023004509906,15.787173307646299,1.0,185.99713679398087,1.1337568729309406,0.5088853448022773,0.6812224837065319
Does it matter whether humans are selfish or evil?,Does it matter whether humanity is evil or not?,1,50,47,3,17,17,9,9,5,76,78,77,100,81,82,78,1.6838129131096602,0.13684650264028408,7.162268825835781,1.0,121.39893386237401,0.5231567663144977,0.23818090094299518,0.2726873732146419
Are exocytosis and endocytosis examples of active or passive transport?,What are examples of passive transport in cells?,0,71,48,23,19,18,10,8,4,60,78,67,100,72,82,65,2.2826080567554374,0.19427017547018977,8.767997794318944,1.0,136.61935582512552,0.6233300742539682,0.2771938433891953,0.33674277070685465
How i get hair on bald head?,"If I shave my head for 2 years as am getting bald and then grew my hair, will the hair will be same as when I intially have? Or I loose more hair?",0,28,146,-118,15,23,7,33,3,26,86,50,100,56,74,28,2.633413737997352,0.11301657785750763,6.511660284220852,1.0,109.08583975927192,0.4754294638426569,0.21467017233949237,0.24135232110242028
What is the ideal life after retirement?,What's life after retirement?,0,40,29,11,14,14,7,4,3,84,91,83,100,79,96,81,2.1684510707855225,0.1360775734953903,7.1884743989867275,1.0,121.77041917684096,0.5216849336328099,0.2375756055708874,0.2689590603217802
What is our stance against Pakistan?,What is the stance of Pakistan in the possession of weapons of mass destruction by North korea? Does it support DPRK or is it against DPRK?,0,36,139,-103,16,27,6,26,4,35,86,69,100,57,94,40,3.545192809792578,0.3303719128010506,11.337975424714386,1.0,157.99752265538558,0.8128615242146157,0.36454758902012335,0.4456252362679555
What are good websites for escorts?,How do I find a good escort?,0,35,28,7,16,16,6,7,1,49,56,50,100,67,59,59,1.7310346997195483,0.3568095549720821,11.751460011480958,1.0,158.38383205709874,0.8447597960059885,0.37933975085441635,0.4629721533088413
Which one is better polo diesel or grand i10 petrol?,What is the best diet for a growing decathlete?,0,52,47,5,19,18,10,9,1,49,49,51,100,43,49,43,3.485433765030047,0.7548262464115789,16.659523352704127,1.0,194.97095156844483,1.2286791656941327,0.5680930109575943,0.7513336726989345
Does a black hole have mass?,Does a black hole have a finite mass?,1,28,37,-9,13,17,6,8,6,86,95,86,100,74,100,86,1.351488629811691,0.12312640454422952,6.8746240326654515,1.0,108.89877521099294,0.4962386711770397,0.22618662583178212,0.2515596299868559
"Is Morgan Freeman correct when he says the only way to stop racism, is to stop talking about it?",What are your views about this Morgan Freeman quote about Racism?,1,96,65,31,24,23,19,11,3,40,61,45,100,61,64,54,2.602420276382446,0.307375779629281,10.971678580506705,1.0,149.63931068553308,0.7840609217542129,0.347894332642469,0.42271967134125044
Does Fab currently offer new employees stock options or RSUs?,Does Uber currently offer new employees stock options or RSUs?,0,61,62,-1,24,22,10,10,9,96,96,95,100,93,97,93,0.5526016338426409,0.08348615002762638,5.748668172534963,1.0,106.2647561145912,0.40862245694101984,0.18178966527515114,0.21203429517744873
How would you review the site Waveclues?,Is there a good pay for reviews site out there?,0,40,47,-7,18,18,7,10,1,52,52,57,100,51,46,47,2.052052321131305,0.33284275857828893,11.4805110468551,1.0,162.90303960491326,0.81589551921232,0.36659227581086784,0.4574722510243177
In how many ways can we distribute 10 identical looking pencils to 4 students so that each student gets at least one pencil?,In how many ways 12 apples can be distributed among 4 children such that every child gets at least 2 apples?,0,124,108,16,25,25,23,21,10,65,65,62,100,50,63,51,1.72191828224309,0.31839633635614284,11.061906670540338,1.0,159.09147045737916,0.7979928916772387,0.3585469002107862,0.43320787311184394
How much would it cost to hire Jerry Seinfeld for 1-2 hours?,How much on average would it cost to video tape a 2 hour presentation?,0,60,70,-10,23,21,12,14,6,61,66,63,100,63,69,59,2.3192440874996785,0.41101960201562115,12.467859944765223,1.0,161.6764780759312,0.9066637290524522,0.41048287632249075,0.5022574547362985
Is 7 days too late for rabies vaccine after a possible non-bite exposure?,Can I take rabies injection after 1 day of dog bite?,0,73,52,21,22,20,13,11,2,54,59,58,100,55,62,59,2.37987356760856,0.3419334916649126,11.34523587436388,1.0,161.70398126942126,0.8269625189498749,0.3741564502748863,0.45604744687071785
How many years Britain ruled India?,What is the standard amount of time off given for an international relocation?,0,35,78,-43,18,19,6,13,0,32,40,43,41,41,34,34,3.1366427635763166,0.7204739474105599,16.958767597975566,1.0,202.3414116396735,1.200394904004081,0.5324387714027463,0.7732353616889287
How can I stop being afraid of working?,How do you stop being afraid of everything?,0,39,43,-4,19,20,8,8,5,78,78,74,100,68,77,70,0.0,0.16788099621673913,7.971363027492771,1.0,128.84720851716332,0.5794497608015344,0.26352627282125285,0.3025020439089043
Why does Red keep the keys in OITNB?,Why does Red keep the keys in season 4 of Orange is the New Black?,1,36,66,-30,19,25,8,15,7,70,86,83,100,66,91,64,1.7494210751533157,0.16588713123711696,7.9528715415654005,1.0,126.28663938038014,0.575998515152856,0.25928419015162957,0.30025745438335255
At what age should someone lose their virginity?,"At what age, how, and where did you lose your virginity?",0,48,56,-8,19,19,8,11,4,69,69,58,100,60,71,56,2.283427321103909,0.04516925997671295,4.175897306078696,1.0,84.29760260004826,0.3005636764751299,0.1359354185793249,0.15263770524024026
How forgetful are you?,How can I forget my wife?,0,22,25,-3,13,16,4,6,1,53,59,55,100,67,62,62,3.2395682334899902,0.6423797231426198,15.483921777136857,1.0,189.11861399868292,1.1334722934988197,0.5187860670499675,0.6710731461151098
Could Snoke secretly be Darth Maul?,How could Snoke be Darth Plagueis if he was killed by Emperor Palpatine?,0,35,72,-37,20,27,6,13,4,46,86,63,100,62,74,51,1.9177836774017158,0.5558999860712188,14.92312134988606,1.0,182.61261738957893,1.0544192983378917,0.47190963029159844,0.6255938524604707
"If I do not monetize YouTube videos & upload copyright content, then are there chances that Google may block my account?",How do you upload movies on YouTube and monetize them? Is there any issue of copyright,1,120,86,34,29,27,21,16,6,47,63,50,100,72,66,65,2.1745817368636837,0.11328881015745584,6.544173259702802,1.0,110.2711216956981,0.4760017093993995,0.21497802796415957,0.24211207263995643
Would you switch from Canon 6D to Leica D-LUX 109?,What tripod should I get for my Canon 6D?,0,50,41,9,29,23,10,9,1,49,51,51,100,57,54,54,2.7803698939456383,0.4116523680298163,12.46666750262375,1.0,160.72415610739293,0.907361404312722,0.4105331319523814,0.4922108559639752
What does the Quora website look like to members of Quora moderation?,How does Quora look to a moderator?,1,69,35,34,20,15,12,7,4,61,86,57,100,59,69,57,2.2287178489758968,0.5257354183977356,14.146559812397754,1.0,178.40077669373906,1.0254125440378774,0.46531652266782336,0.5863365434313067
Why nobody answer my questions in Quora?,Why is no one answering my questions in Quora?,1,40,46,-6,19,18,7,9,5,86,86,85,100,79,86,86,1.520861978026901,0.17449352974160404,8.11682130972622,1.0,135.93699101996827,0.5907512582072024,0.2658428863852182,0.3188978073122502
What is the funniest joke you know?,What is the funniest joke of all time?,1,35,38,-3,16,16,7,8,5,79,81,80,100,81,85,76,0.0,0.06412269370414658,4.898325907430262,1.0,92.29235450909422,0.35811366531014693,0.16222614098439597,0.17722252395475688
"I got job offer @ Chelmsford-Essex, London with £3764 PM pay-after tax deduction. Pls advice tentative monthly expenses for couple? & saving possible?","If I am leaving Norway, can I pay down my mortgage with my BSU account, and then sell my apartment without having to pay back the tax deduction I got for having BSU?",0,150,165,-15,40,30,23,33,5,44,48,41,100,48,50,46,2.99155135289784,0.2829737504273807,10.363435677369125,1.0,144.07889795092026,0.7522948108470451,0.33912673269392674,0.4038310197822106
What are stereotypes about the United Kingdom?,What do Americans think about the United Kingdom?,0,46,49,-3,20,21,7,8,5,73,74,70,100,69,78,73,2.8319795440929165,0.3172428329324041,10.978906328440644,1.0,149.66577880145388,0.7965461164146669,0.3601601439027092,0.4256943880256192
How do I use Twitter as a business source?,How can I use Twitter for business?,1,42,35,7,17,17,9,7,4,75,83,80,100,76,87,75,1.147511246929577,0.09784940306705137,6.083435928332619,1.0,106.36570736337552,0.4423785731742715,0.19830475597066832,0.2232250283408111
How can I transfer money from Skrill to a PayPal account?,How can I send money from my PayPal account to my Skrill account to withdraw?,0,57,77,-20,21,23,11,15,8,59,85,68,100,79,89,77,2.1193000073380803,0.10766326051795194,6.41643702131114,1.0,122.27001844718055,0.46403290213347614,0.20972597356485603,0.24399187227204658
Which is the best earphone with deep bass under 1000?,Which is the Best earphones under Rs 1000?,1,53,42,11,19,19,10,8,6,82,82,74,100,80,82,80,2.8184490799067774,0.4122474298412936,12.469440410888637,1.0,157.20911676577094,0.9080169940816611,0.4095846561299976,0.4921533937166874
Are government employees eligible to Sukanya Samrudi Yojana?,Can a Government employee apply IEC?,0,60,36,24,23,16,8,6,1,55,86,61,100,69,53,53,1.6912131228349068,0.33652435843695105,11.329694563843077,1.0,152.59278386338636,0.8203954774749785,0.3714316670497952,0.44995714651669183
Which is correct - 'Looking forward to speak with you' or 'Look forward to speak with you'?,"Which is correct: ""speak with"" or ""speak to""?",0,91,45,46,23,16,17,8,3,65,86,64,100,79,100,63,inf,0.1892966716382174,8.650529510545311,1.0,131.95439111578077,0.6152994010224966,0.2760815891590887,0.32722453360278175
Which are the best engineering fields?,What is the best field of engineering?,1,38,38,0,16,16,6,7,2,65,77,66,100,81,81,81,1.6836372963514328,0.1226909069780564,6.846505833496849,1.0,121.56745193703722,0.4953603176101039,0.22227490043097967,0.2597126729989597
How do you make life suit you and stop life from abusing you mentally and emotionally?,"Why are emotionally abusive people in my life? Several ex boyfriends, friends, and past coworkers/bosses have been abusers. Do I attract them?",0,86,142,-56,21,30,16,22,2,35,86,40,100,51,52,48,3.156058530911884,0.34014188199309514,11.645353706451715,1.0,155.77374547217983,0.8247931788469729,0.3664813569557152,0.44998111122519147
What is the difference between gross salary and CTC?,"There seems to be a difference between my weekly paycheck and the yearly salary my employer agreed upon, how does that work?",0,52,124,-72,21,24,9,22,5,46,86,60,100,61,79,46,2.6638275783431844,0.2961161925487126,10.61093957675621,1.0,154.54156254421773,0.7695663939742566,0.3511674018964136,0.4198720749634847
Which are the prospering towns in Kerala?,Why are there so many Christians in Kerala?,0,41,43,-2,17,16,7,8,3,66,66,63,100,56,61,54,3.787984773217201,0.4388345121633783,12.972464895245139,1.0,166.27023493823552,0.9368399223904236,0.4203021885749309,0.5263251607449103
What is the best way to gain confidence?,How can I speak with more clarity and confidence?,0,40,49,-9,17,21,8,9,1,62,62,63,100,58,57,51,3.4744692775315413,0.4881418551863669,13.356795337662334,1.0,173.95714330721512,0.988070696861457,0.45466583507247804,0.5655795094761096
Does anyone see the relation between Greek gods and Hindu gods?,"What parallelism can we draw between gods of Hindu mythology, Greek mythology, Egyptian mythology, etc.?",1,63,104,-41,21,28,11,15,4,40,86,52,100,55,65,46,1.6779724313675903,0.24806075740393607,9.840897483823937,1.0,145.72650464819225,0.7043589393365591,0.31388802108570096,0.37676357624864615
How do I switch from Apple Music to Spotify?,Should I switch from Spotify to Apple Music?,0,44,44,0,22,21,9,8,5,67,86,67,100,84,91,84,1.2292537587200405,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0
Which is the best fixed income fund?,What is the best fixed income fund?,1,36,35,1,16,17,7,7,6,93,93,91,100,94,93,93,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0
What is it like to live in Cologne?,"What is it like to live in Köln, Germany? ",1,35,42,-7,15,20,8,9,7,82,83,86,100,82,87,81,0.0,0.4613637507539553,13.207854687367217,1.0,165.84646522350135,0.9605870762401736,0.43461934702443145,0.527765894547672
"Between Robert De Niro and Al Pacino, who is more successful?","Who do you regard as the best actor, Robert De Niro or Al Pacino?",0,61,65,-4,25,24,11,14,5,48,66,51,100,64,69,62,1.594863299247821,0.14371261717429806,7.453807723970385,1.0,121.52616523144458,0.5361205429287123,0.2430626985216018,0.27615854484023017
Why does some people prefer small families.?,Why do some people prefer to live with small family?,1,44,52,-8,16,18,7,10,5,80,80,70,100,86,84,84,0.7385204559014391,0.10919563789730702,6.481947555948864,1.0,116.07895634211565,0.46732352466080473,0.21042257458157226,0.23996956906968966
Do animals kiss?,Do animals (besides humans) kiss?,1,16,33,-17,10,17,3,5,3,64,86,75,100,67,100,67,0.0,0.11784589314762017,6.496458021079889,1.0,111.95153862588981,0.48548100309180037,0.22369369311605034,0.24396866589121446
How do you get deleted Instagram chats?,How can I view deleted Instagram dms?,1,39,37,2,19,18,7,7,3,73,73,70,100,75,76,73,1.4871887524394989,0.3858813014166287,12.33826562811737,1.0,169.76464776893263,0.8785002303921643,0.3930342226807103,0.5041585863214977
How can I stop being addicted to love?,How do I stop being addicted to someone?,0,38,40,-2,18,17,8,8,6,84,84,84,100,81,86,84,0.0,0.15606667439912347,7.639484948293102,1.0,119.95574700588504,0.5586889559409535,0.25296934971109153,0.28689911473666335
What if I hired two private eyes and ordered them to follow each other?,Would I be able to hire two private investigators and then get them to follow each other?,1,71,89,-18,21,23,14,17,9,72,72,76,100,71,76,68,1.9012732007632958,0.2741029565008921,9.967844857987075,1.0,134.48800742059734,0.7404092846209359,0.3391987532393237,0.3784123102639286
How do I find a startup accelerator?,How do startup accelerators give you the funding?,0,36,49,-13,18,21,7,8,3,63,73,72,100,71,77,72,2.332525590077369,0.27700499062018824,10.246706718855421,1.0,143.30049060422203,0.7443184931603739,0.33528654675981284,0.39425292701994896
How can I check wifi history and access it through android phones?,I cannot open Quora through my WiFi router. Why can I only access it through a mobile network?,0,66,94,-28,21,25,12,18,6,56,60,55,100,48,63,55,2.0725071325120927,0.23246759516147042,9.561919295258122,1.0,138.9563257605887,0.6818615770926953,0.3047429118690817,0.36143044970610977
"What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Rostov?","What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Riyadh?",1,119,119,0,25,25,22,22,14,96,96,96,100,96,96,96,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
What is the most creative college admissions essay you've read?,Has any college admission officer cried in public while reading an applicant's essay?,0,63,85,-22,20,23,10,13,1,47,55,49,100,55,58,56,3.0440098715185386,0.2509697648745506,9.6500529445766,1.0,143.55708925839036,0.7084769106075864,0.32319012741325176,0.3698943644866541
"What would happen if you cover one of your eyes with an eye patch for one year, then take the patch off?",What happens if eye medicine enters the eye?,0,104,44,60,22,16,22,8,4,45,86,59,100,63,56,47,2.835740502380848,0.41241588125805095,12.740981904498767,1.0,161.8500538530283,0.9082024968816234,0.4021421682640848,0.501975913713248
Is it possible to pursue many different things in life?,How do I refuse to chose between different things to do in my life?,1,55,67,-12,20,21,10,14,5,63,65,67,100,70,68,62,1.8490550071942806,0.24018105812509272,9.311910389718832,1.0,140.20850509059636,0.6930816063656337,0.31915899106401596,0.3608584059471757
Did Ben Affleck shine more than Christian Bale as Batman?,"No fanboys please, but who was the true batman, Christian Bale or Ben Affleck?",1,57,78,-21,20,25,10,14,3,53,70,56,100,71,74,67,1.575659637007141,0.16315880422828144,7.71698844295679,1.0,124.02463072253593,0.5712421498840595,0.263795763094451,0.2889669278560255
Which business is good start up in Hyderabad?,Which business is better to start in Hyderabad?,1,45,47,-2,19,17,8,8,6,84,86,82,100,89,90,82,0.6709705120668927,0.07014960315692398,5.112871917677694,1.0,99.77659114767603,0.37456537766733994,0.17140416105526596,0.1932094180228747
How can I stop being so possessive?,How do I stop being over possessive for a person whom I love?,1,35,61,-26,16,21,7,13,4,64,86,86,100,59,89,60,2.499271220208702,0.13086135570747603,6.929398675605626,1.0,122.60776801877493,0.5115884173478625,0.2363529428407513,0.26017558256610973
Who was the wife of Lord Krishna?,Who is the father of lord Krishna?,0,33,34,-1,16,15,7,7,5,86,86,82,100,84,84,71,1.0599644339535237,0.07214837208226654,5.242819923878415,1.0,93.76720839464446,0.3798641091303267,0.1717149803837501,0.1918207629458695
What is the best combination of courses I can take up along with CA to enhance my career?,What courses must be taken along with CA course?,1,89,48,41,25,21,18,9,5,55,86,69,100,55,71,59,1.70209431065342,0.2774856484814152,10.343504939344712,1.0,148.6813759166982,0.7449639678941078,0.3342446476338258,0.40565920195066874
How do you take a screenshot on a Mac laptop?,How do I take a screenshot on my MacBook Pro? What are some instructions?,1,45,73,-28,19,23,10,14,6,64,86,80,100,59,78,64,1.1469620717883706,0.19453748683434002,8.504128340417083,1.0,131.74878041309535,0.6237587409962572,0.28534819387525107,0.3220692998073769
What is the work of an executive recruiter like?,What is it like to work with an executive recruiter?,0,48,52,-4,19,18,9,10,5,80,87,77,100,83,92,86,1.3006289475838377,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
Which psychological need does 'collecting' fulfill?,Why do people collect things?,0,51,29,22,19,15,6,5,0,49,51,55,50,50,50,50,3.3299663434827327,0.6840641792259592,16.110389421475702,1.0,182.48194073125325,1.1696702324196688,0.5285529906523974,0.7008331124888375
What are some must watch TV shows before you die?,Are there any must watch TV shows?,1,49,34,15,20,17,10,7,4,62,78,71,100,73,82,64,0.7756519885215746,0.07202040927377196,5.184375623059168,1.0,97.3726141371908,0.3795270900907652,0.1714821594778601,0.1949343886008716
How can I become more fluent in Chinese?,How can I become fluent in chinese?,1,40,35,5,20,18,8,7,7,93,95,83,100,100,100,93,0.0,6.661338147750939e-16,0.0,0.0,0.0,0.0,0.0,0.0
